codigo_municipio,municipio,uf,proporcao_haddad,proporcao_bolsonaro,votos_haddad,votos_bolsonaro,votos_validos
4104501,CAPANEMA,PR,0.494,0.506,5601,5744,11345
4122008,RIO AZUL,PR,0.349,0.651,3033,5650,8683
4117305,ORTIGUEIRA,PR,0.584,0.416,7725,5510,13235
4111902,JAGUAPITÃ,PR,0.286,0.714,2194,5490,7684
4113908,MALLET,PR,0.329,0.671,2659,5435,8094
4103909,CAMPINA DA LAGOA,PR,0.389,0.611,3428,5390,8818
4114500,MANOEL RIBAS,PR,0.343,0.657,2803,5362,8165
4109302,GUARANIAÇU,PR,0.381,0.619,3245,5261,8506
4124400,SANTO ANTÔNIO DO SUDOESTE,PR,0.535,0.465,6045,5256,11301
4111407,IVAÍ,PR,0.38,0.62,3207,5237,8444
4105300,CÉU AZUL,PR,0.224,0.776,1497,5178,6675
4101705,ARARUNA,PR,0.349,0.651,2773,5162,7935
4127601,TIJUCAS DO SUL,PR,0.408,0.592,3534,5129,8663
4107504,ENGENHEIRO BELTRÃO,PR,0.342,0.658,2622,5050,7672
4121505,REBOUÇAS,PR,0.462,0.538,4239,4943,9182
4116703,NOVA AURORA,PR,0.339,0.661,2494,4863,7357
4112702,JATAIZINHO,PR,0.336,0.664,2446,4829,7275
4104600,CAPITÃO LEÔNIDAS MARQUES,PR,0.441,0.559,3775,4778,8553
4101002,AMPÉRE,PR,0.555,0.445,5949,4777,10726
4105706,CLEVELÂNDIA,PR,0.509,0.491,4941,4771,9712
4117222,NOVA SANTA ROSA,PR,0.133,0.867,725,4743,5468
4123402,SANTA FÉ,PR,0.301,0.699,2037,4732,6769
4116059,MISSAL,PR,0.333,0.667,2351,4714,7065
4118907,PÉROLA,PR,0.325,0.675,2259,4694,6953
4104402,CÂNDIDO DE ABREU,PR,0.473,0.527,4202,4674,8876
4114401,MANGUEIRINHA,PR,0.548,0.452,5591,4605,10196
4118808,PEABIRU,PR,0.379,0.621,2801,4597,7398
4112801,JOAQUIM TÁVORA,PR,0.312,0.688,2076,4570,6646
4116109,MOREIRA SALES,PR,0.369,0.631,2654,4544,7198
4120507,PRIMEIRO DE MAIO,PR,0.306,0.694,1986,4495,6481
4100608,ALTO PARANÁ,PR,0.394,0.606,2899,4467,7366
4121802,RIBEIRÃO CLARO,PR,0.374,0.626,2641,4418,7059
4107009,CURIÚVA,PR,0.419,0.581,3171,4394,7565
4115408,MARMELEIRO,PR,0.515,0.485,4623,4351,8974
4118006,PARAÍSO DO NORTE,PR,0.387,0.613,2725,4320,7045
4120002,PORECATU,PR,0.42,0.58,3090,4267,7357
4103107,BOCAIÚVA DO SUL,PR,0.377,0.623,2543,4202,6745
4128401,URAÍ,PR,0.356,0.644,2306,4180,6486
4105201,CERRO AZUL,PR,0.559,0.441,5283,4167,9450
4124020,SANTA TEREZA DO OESTE,PR,0.392,0.608,2665,4134,6799
4112405,JAPURÁ,PR,0.254,0.746,1401,4115,5516
4102901,BITURUNA,PR,0.562,0.438,5242,4087,9329
4110953,ITAIPULÂNDIA,PR,0.398,0.602,2696,4070,6766
4105607,CIDADE GAÚCHA,PR,0.377,0.623,2456,4059,6515
4123907,SANTA MARIANA,PR,0.428,0.572,3002,4018,7020
4117107,NOVA LONDRINA,PR,0.402,0.598,2699,4017,6716
4124806,SÃO JOÃO,PR,0.442,0.558,3120,3935,7055
4127858,TRÊS BARRAS DO PARANÁ,PR,0.432,0.568,2958,3889,6847
4122602,RONDON,PR,0.315,0.685,1737,3779,5516
4121901,RIBEIRÃO DO PINHAL,PR,0.513,0.487,3963,3769,7732
4108007,FLORESTÓPOLIS,PR,0.486,0.514,3554,3760,7314
4112504,JARDIM ALEGRE,PR,0.434,0.566,2867,3741,6608
4114906,MARILÂNDIA DO SUL,PR,0.304,0.696,1628,3732,5360
4125100,SÃO JOÃO DO TRIUNFO,PR,0.582,0.418,5174,3714,8888
4102505,BARBOSA FERRAZ,PR,0.416,0.584,2641,3707,6348
4100301,AGUDOS DO SUL,PR,0.324,0.676,1770,3692,5462
4103503,CALIFÓRNIA,PR,0.302,0.698,1584,3655,5239
4127965,TURVO,PR,0.592,0.408,5298,3651,8949
4119806,PLANALTO,PR,0.538,0.462,4230,3636,7866
4123709,SANTA ISABEL DO IVAÍ,PR,0.308,0.692,1616,3633,5249
4125803,SÃO PEDRO DO IVAÍ,PR,0.351,0.649,1960,3630,5590
4122701,SABÁUDIA,PR,0.198,0.802,887,3603,4490
4125001,SÃO JOÃO DO IVAÍ,PR,0.475,0.525,3258,3599,6857
4120705,QUATIGUÁ,PR,0.275,0.725,1361,3583,4944
4127957,TUPÃSSI,PR,0.263,0.737,1269,3559,4828
4109906,ICARAÍMA,PR,0.324,0.676,1692,3531,5223
4104428,CANDÓI,PR,0.598,0.402,5171,3478,8649
4112751,JESUÍTAS,PR,0.36,0.64,1951,3464,5415
4127007,TEIXEIRA SOARES,PR,0.419,0.581,2475,3431,5906
4126678,TAMARANA,PR,0.423,0.577,2499,3403,5902
4115358,MARIPÁ,PR,0.176,0.824,728,3401,4129
4115754,MAUÁ DA SERRA,PR,0.38,0.62,2081,3400,5481
4107256,DOURADINA,PR,0.356,0.644,1875,3394,5269
4117800,PALMITAL,PR,0.582,0.418,4712,3385,8097
4123808,SANTA IZABEL DO OESTE,PR,0.499,0.501,3335,3344,6679
4100806,ALVORADA DO SUL,PR,0.378,0.622,2019,3323,5342
4110078,IMBAÚ,PR,0.461,0.539,2841,3323,6164
4127908,TUNEIRAS DO OESTE,PR,0.352,0.648,1790,3301,5091
4128559,VERA CRUZ DO OESTE,PR,0.352,0.648,1792,3299,5091
4125209,SÃO JORGE D'OESTE,PR,0.475,0.525,2975,3283,6258
4111209,ITAPEJARA D'OESTE,PR,0.54,0.46,3782,3223,7005
4103800,CAMBIRA,PR,0.305,0.695,1390,3169,4559
4115101,MARILUZ,PR,0.464,0.536,2741,3164,5905
4107900,FLORESTA,PR,0.292,0.708,1307,3163,4470
4108205,FORMOSA DO OESTE,PR,0.313,0.687,1431,3139,4570
4115853,MERCEDES,PR,0.168,0.832,629,3119,3748
4123006,SALTO DO LONTRA,PR,0.638,0.362,5482,3112,8594
4127809,TOMAZINA,PR,0.361,0.639,1745,3090,4835
4112959,JURANDA,PR,0.339,0.661,1579,3072,4651
4108957,GUAMIRANGA,PR,0.415,0.585,2166,3051,5217
4102604,BARRACÃO,PR,0.453,0.547,2520,3045,5565
4104105,CAMPO DO TENENTE,PR,0.348,0.652,1619,3031,4650
4117255,NOVA PRATA DO IGUAÇU,PR,0.55,0.45,3678,3014,6692
4108502,GENERAL CARNEIRO,PR,0.545,0.455,3604,3007,6611
4103305,BORRAZÓPOLIS,PR,0.373,0.627,1776,2981,4757
4108320,FRANCISCO ALVES,PR,0.335,0.665,1473,2920,4393
4105003,CATANDUVAS,PR,0.414,0.586,2062,2918,4980
4118105,PARANACITY,PR,0.489,0.511,2788,2917,5705
4122503,RONCADOR,PR,0.565,0.435,3772,2902,6674
4105102,CENTENÁRIO DO SUL,PR,0.559,0.441,3658,2884,6542
4118857,PEROBAL,PR,0.292,0.708,1182,2862,4044
4100707,ALTO PIQUIRI,PR,0.497,0.503,2773,2808,5581
4123303,SANTA CRUZ DE MONTE CASTELO,PR,0.453,0.547,2311,2789,5100
4118709,PAULO FRONTIN,PR,0.373,0.627,1659,2784,4443
4110805,IRETAMA,PR,0.524,0.476,3048,2774,5822
4121000,QUERÊNCIA DO NORTE,PR,0.561,0.439,3526,2754,6280
4100103,ABATIÁ,PR,0.392,0.608,1767,2746,4513
4117008,NOVA FÁTIMA,PR,0.366,0.634,1579,2738,4317
4126009,SÃO SEBASTIÃO DA AMOREIRA,PR,0.478,0.522,2483,2707,5190
4128534,VENTANIA,PR,0.501,0.499,2699,2685,5384
4110201,INÁCIO MARTINS,PR,0.579,0.421,3686,2682,6368
4104451,CANTAGALO,PR,0.606,0.394,4127,2681,6808
4101309,ANTÔNIO OLINTO,PR,0.456,0.544,2237,2672,4909
